IdAgente,IdeCnjUndCnm,CodigoMunicipio,DatInicioInterrupcao,QtdInterProgramada,QtdInterNaoProgramada,Faixa
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,18:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,18:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,19:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,19:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,20:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,20:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-18,1.0,0.0,21:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,11:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,11:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,12:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,12:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,13:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,13:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-19,1.0,0.0,14:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,10:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,10:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,11:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,11:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,12:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,12:30:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,13:00:00.0000000
5160.0,12668.0,5300108.0,2023-12-21,1.0,0.0,16:30:00.0000000
